"Jan 26, 2021, 12 AMEDT",2.15,2.38,+10.59,"Oct 27, 2020, 12 AMEDT",2.26,2.43,+7.38,"Jul 28, 2020, 12 AMEDT",1.8,1.78,-1.17,"Apr 28, 2020, 12 AMEDT",2.03,2.16,+6.3
"Jan 28, 2021, 12 AMEDT",0.59,0.74,+26.5,"Oct 29, 2020, 12 AMEDT",0.52,0.66,+27.66,"Jul 30, 2020, 12 AMEDT",0.42,0.45,+7.14,"May 05, 2020, 12 AMEDT",0.34,0.32,-5.88
"Jan 27, 2021, 12 AMEDT",1.35,1.45,+7.17,"Oct 21, 2020, 12 AMEDT",0.91,0.98,+7.93,"Jul 16, 2020, 12 AMEDT",0.42,0.57,+34.43,"Apr 16, 2020, 12 AMEDT",0.58,0.65,+11.68
"Feb 03, 2021, 12 AMEDT",2.85,2.92,+2.42,"Oct 30, 2020, 12 AMEDT",2.77,2.83,+2.35,"Jul 31, 2020, 12 AMEDT",2.19,2.34,+6.9,"May 01, 2020, 12 AMEDT",2.25,2.42,+7.75
"Jan 28, 2021, 12 AMEDT",1.13,1.35,+19.57,"Oct 29, 2020, 12 AMEDT",0.92,1.36,+47.67,"Aug 06, 2020, 12 AMEDT",0.29,0.98,+233.33,"Apr 30, 2020, 12 AMEDT",0.94,0.7,-25.21
"Mar 18, 2021, 12 AMEDT",1.9,2.03,+6.95,"Dec 17, 2020, 12 AMEDT",2.05,2.17,+5.65,"Sep 24, 2020, 12 AMEDT",1.73,1.99,+14.83,"Jun 25, 2020, 12 AMEDT",1.85,1.9,+2.93
"Feb 04, 2021, 12 AMEDT",1.18,1.21,+2.72,"Oct 29, 2020, 12 AMEDT",0.65,0.71,+9.74,"Aug 04, 2020, 12 AMEDT",0.69,0.97,+41.61,"May 05, 2020, 12 AMEDT",0.38,0.58,+53.44
"Mar 23, 2021, 12 AMEDT",2.79,3.14,+12.75,"Dec 10, 2020, 12 AMEDT",2.66,2.81,+5.8,"Sep 15, 2020, 12 AMEDT",2.41,2.57,+6.64,"Jun 11, 2020, 12 AMEDT",2.33,2.45,+5.15
"Feb 16, 2021, 12 AMEDT",1.97,1.87,-4.98,"Nov 10, 2020, 12 AMEDT",2.66,2.81,+5.64,"Aug 18, 2020, 12 AMEDT",1.98,2.92,+47.25,"May 19, 2020, 12 AMEDT",1.73,0.91,-47.43
"Jan 26, 2021, 12 AMEDT",0.47,0.52,+11.59,"Oct 27, 2020, 12 AMEDT",0.36,0.41,+15.17,"Jul 28, 2020, 12 AMEDT",0.16,0.18,+9.76,"Apr 28, 2020, 12 AMEDT",0.18,0.18,-
"Feb 25, 2021, 12 AMEDT",0.44,0.48,+9.09,"Nov 06, 2020, 12 AMEDT",0.43,0.42,-2.55,"Aug 06, 2020, 12 AMEDT",0.23,0.25,+8.7,"May 07, 2020, 12 AMEDT",0.29,0.29,-1.02
"Feb 03, 2021, 12 AMEDT",1.05,1.07,+2.2,"Oct 27, 2020, 12 AMEDT",1.14,1.39,+22.25,"Jul 28, 2020, 12 AMEDT",1.07,1.28,+20.08,"Apr 29, 2020, 12 AMEDT",1.1,1.21,+9.7
"Feb 16, 2021, 12 AMEDT",0.89,1.06,+18.57,"Nov 23, 2020, 12 AMEDT",0.93,0.98,+5.49,"Aug 18, 2020, 12 AMEDT",0.66,0.78,+17.65,"May 21, 2020, 12 AMEDT",0.61,0.71,+17.16
"Feb 04, 2021, 12 AMEDT",2.19,2.12,-3.06,"Nov 11, 2020, 12 AMEDT",2.21,2.19,-1.08,"Jul 23, 2020, 12 AMEDT",1.99,2.01,+1.16,"Apr 23, 2020, 12 AMEDT",2.06,2.04,-1.07
"Feb 09, 2021, 12 AMEDT",1.31,1.33,+1.45,"Oct 27, 2020, 12 AMEDT",1.23,1.31,+6.59,"Jul 28, 2020, 12 AMEDT",1.21,1.38,+13.67,"Apr 28, 2020, 12 AMEDT",1.16,1.2,+3.72
"Jan 26, 2021, 12 AMEDT",-2.87,-2.55,+11.27,"Oct 22, 2020, 12 AMEDT",-2.94,-3.23,-9.86,"Jul 23, 2020, 12 AMEDT",-3.73,-3.54,+5.17,"May 05, 2020, 12 AMEDT",-1.13,-0.82,+27.63
"Feb 17, 2021, 12 AMEDT",1.1,1.17,+6.46,"Nov 04, 2020, 12 AMEDT",0.78,1.09,+40.1,"Aug 05, 2020, 12 AMEDT",0.73,0.86,+18.13,"May 06, 2020, 12 AMEDT",0.83,1,+20.77
"Jan 25, 2021, 12 AMEDT",0.65,3.8,+481.04,"Oct 26, 2020, 12 AMEDT",0.61,0.63,+3.62,"Jul 27, 2020, 12 AMEDT",0.53,1.82,+246.01,"Apr 27, 2020, 12 AMEDT",0.66,0.14,-78.88
"Feb 04, 2021, 12 AMEDT",2.56,2.96,+15.72,"Oct 29, 2020, 12 AMEDT",2.6,3.24,+24.62,"Jul 30, 2020, 12 AMEDT",2.59,3.11,+20.08,"May 06, 2020, 12 AMEDT",2.71,3.22,+18.78
